,date,Institution_Total,Foreign_Investor,Investment_Trust,Dealer,Dealer_Hedging,Dealer_self,Foreign_Dealer_Self,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,RSI
20110125,20110125,8006664067,7725186840,537500255,-256023028,0,0,0,9001.740234,9032.299805,8991.389648,8991.389648,2925600,9000.349805,8982.792871,8937.845899,8672.317301,57.83227653
20110126,20110126,10065204107,8490493700,426632381,1148078026,0,0,0,9010.410156,9072.759766,9009.179688,9055.589844,3204800,8994.263867,8991.851856,8947.087402,8684.164469,61.6248567
20110127,20110127,13537581807,13507298989,34457662,-4174844,0,0,0,9093.540039,9126.929688,9092.969727,9102.330078,3296800,9010.295898,9004.526856,8958.886426,8697.638298,64.15270069
20110128,20110128,7498249884,8968387966,-34468856,-1435669226,0,0,0,9122.160156,9154.929688,9095.709961,9145.349609,3372600,9048.489844,9021.81084,8970.758398,8710.763298,66.34978904
20110208,20110208,814813279,1851114909,174090537,-1210392167,0,0,0,9220.69043,9220.69043,9085.410156,9111.459961,3854200,9081.223828,9040.447852,8975.066406,8721.798633,63.0703297
20110209,20110209,-8214174398,-5575471641,-1058565299,-1580137458,0,0,0,9107.959961,9129.879883,8992.639648,9006.820313,3537600,9084.309961,9042.329883,8975.5479,8731.402637,54.16772314
20110210,20110210,-20216433320,-16859469022,-1262419353,-2094544945,0,0,0,8962.070313,8979.349609,8836.55957,8836.55957,3685600,9040.503906,9017.383887,8975.0604,8737.918132,43.4265772
20110211,20110211,-27805965872,-21570598696,-1794108598,-4441258578,0,0,0,8842.410156,8842.410156,8574.650391,8609.860352,4563000,8942.009961,8976.15293,8961.39292,8740.571973,33.81250181
20110214,20110214,-12101766286,-12502739298,-244197956,645170968,0,0,0,8666.610352,8715.969727,8626.660156,8685.469727,3074000,8850.033985,8949.261914,8956.53042,8744.713965,38.68788265
20110215,20110215,-5948319597,-5939032615,-104454816,95167834,0,0,0,8679.120117,8753.049805,8565.049805,8721.929688,3209400,8772.12793,8926.675879,8951.73291,8751.47863,40.94680457
20110216,20110216,-8961688424,-7906252820,-574038959,-481396645,0,0,0,8740.320313,8767.089844,8702.80957,8712.959961,2959800,8713.35586,8898.83291,8940.812891,8759.350456,40.5509789
20110217,20110217,-9117659174,-7934754803,347567106,-1530471477,0,0,0,8738.709961,8745.650391,8669.769531,8683.879883,3118400,8682.819922,8861.661914,8926.756885,8765.544954,39.22703245
20110218,20110218,13430703711,12713635777,749159347,-32091413,0,0,0,8763.69043,8874.5,8763.69043,8843.839844,3326600,8729.615821,8835.812891,8920.169873,8775.349951,49.07602444
20110221,20110221,-1617588269,-2045827237,391026818,37212150,0,0,0,8867.160156,8867.160156,8797.25,8839.219727,2736800,8760.365821,8805.199903,8913.505371,8784.612777,48.82987812
20110222,20110222,-20244533942,-17495615772,-867256390,-1881661780,0,0,0,8744.80957,8744.80957,8613.339844,8673.669922,3728400,8750.713867,8761.420899,8900.934375,8790.738607,40.91159892
20110223,20110223,-5084858540,-1747093067,-1770194586,-1567570887,0,0,0,8604.320313,8673.200195,8521.25,8528.94043,3337800,8713.909961,8713.63291,8877.981397,8793.305778,35.49284931
20110224,20110224,-8737564100,-8080527884,-368686498,-288349718,0,0,0,8561.160156,8633.240234,8541.639648,8541.639648,2738400,8685.461914,8684.140918,8850.762402,8796.855941,36.29022561
20110225,20110225,-2951566998,-4024618159,453279849,619771312,0,0,0,8597.870117,8635.040039,8470.089844,8599.650391,3641600,8636.624024,8683.119922,8829.636426,8801.899284,39.94230536
20110301,20110301,2559593301,1120653731,477132734,961806836,0,0,0,8611.790039,8734.240234,8611.790039,8727.55957,2811800,8614.291992,8687.328906,8818.29541,8808.192106,47.13775234
20110302,20110302,-12747194602,-11854079440,-791799266,-101315896,0,0,0,8675.370117,8709.570313,8619.900391,8619.900391,2677400,8603.538086,8677.125977,8801.900928,8813.321273,42.52013644
20110303,20110303,5611507533,4092759880,130894573,1387853080,0,0,0,8661.629883,8758.889648,8661.629883,8738.370117,3099000,8645.424023,8679.666992,8789.249951,8819.507943,48.49883912
20110304,20110304,9445047023,8773846667,930289860,-259089504,0,0,0,8815.519531,8829.230469,8771.889648,8784.400391,3112800,8693.976172,8689.719043,8775.690479,8826.373275,50.64680492
20110307,20110307,-2020595143,-1478378524,-325951866,-216264753,0,0,0,8769.870117,8769.870117,8706.379883,8713.790039,2288200,8716.804102,8676.714063,8756.263477,8829.60127,47.38216882
20110308,20110308,991267715,809495735,105654977,76117003,0,0,0,8692.099609,8768.30957,8692.099609,8747.75,2487400,8720.842188,8667.56709,8736.383496,8832.300944,49.0821203
