,date,Institution_Total,Short Sale/Margin Purchase Ratio,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA60,RSI
20110103,20110103,10046815601,0.041757359761234646,9039.629883,9041.320313,8994.5,9025.299805,5067400.0,8912.5257812,8877.9598632,8809.82543945,8475.660839883332,76.19200196958882
20110104,20110104,3673252007,0.0410257245480983,9045.110352,9046.179688,8988.580078,8997.19043,5270400.0,8933.5019532,8900.8069335,8824.5734375,8489.334684283334,72.48623344192427
20110105,20110105,-3221561858,0.038801207193630914,9014.320313,9027.160156,8812.360352,8846.30957,5796600.0,8928.611914,8902.658886599998,8831.6694336,8501.936173533333,56.57908115723126
20110106,20110106,-2849692219,0.039928471293702125,8866.230469,8883.209961,8813.629883,8883.209961,4362200.0,8931.9839844,8904.930859299999,8840.6404297,8514.878670283335,58.95162566384033
20110107,20110107,-1586422998,0.03845481591572814,8905.25,8907.110352,8738.929688,8782.719727,4500800.0,8906.9458986,8893.3158203,8842.08442385,8524.333162483334,50.80949916264012
20110110,20110110,1055201409,0.03804170753807107,8798.049805,8817.879883,8762.5,8817.879883,2885200.0,8865.461914200001,8888.9938477,8847.0369141,8534.54283045,53.24283392190725
20110111,20110111,14511977499,0.03949698136749616,8810.769531,8935.269531,8794.769531,8931.360352,3573400.0,8852.295898600001,8892.8989259,8856.775439499997,8549.056502333335,60.10274712835568
20110112,20110112,8131490780,0.0399068640251284,8992.009766,9000.780273,8955.469727,8965.0,3922200.0,8876.033984600002,8902.3229493,8868.003955099997,8564.369336,61.88779363487955
20110113,20110113,7197939628,0.04051498115051491,9034.169922,9034.169922,8948.230469,8975.580078,3951000.0,8894.508008,8913.245996200001,8878.94746095,8578.552002016668,62.45672619982664
20110114,20110114,2844741353,0.04032294732929913,8985.339844,8998.139648,8937.5,8972.509766,2756200.0,8932.4660158,8919.705957200002,8888.462939499997,8592.573331783333,62.1667029196485
20110117,20110117,36817326,0.039314222552273,8998.889648,9006.360352,8921.19043,8925.089844,3579600.0,8953.908008000002,8909.684961100002,8893.822412149999,8605.190494866667,57.709485156729116
20110118,20110118,5288195472,0.03938920583465745,8889.839844,9003.450195,8887.030273,8988.0,3723200.0,8965.2359376,8908.765918100002,8904.786425799999,8616.540820383334,61.63901325001765
20110119,20110119,10078955024,0.04034232851498634,9023.299805,9092.280273,9005.769531,9086.019531,3935000.0,8989.4398438,8932.7369142,8917.697900399999,8628.920638083333,66.81317161208695
20110120,20110120,-396848360,0.040205279850275714,9059.799805,9063.519531,9017.799805,9022.169922,3066400.0,8998.7578126,8946.6329103,8925.781884799999,8641.106136133334,61.03780983856678
20110121,20110121,-8314484687,0.039267792971909306,8935.290039,8980.540039,8892.269531,8954.379883,3170400.0,8995.131836,8963.7989259,8928.557373099999,8651.111637433332,55.54776351660106
20110124,20110124,-907469129,0.03866047407476791,8983.589844,8993.55957,8927.490234,8947.790039,2580000.0,8999.671875,8976.789941500001,8932.8918946,8662.123307349999,55.02959937961972
20110125,20110125,8006664067,0.038613283942413396,9001.740234,9032.299805,8991.389648,8991.389648,2925600.0,9000.349804599999,8982.7928711,8937.8458985,8672.317301483334,57.83227653017531
20110126,20110126,10065204107,0.03797571680222036,9010.410156,9072.759766,9009.179688,9055.589844,3204800.0,8994.2638672,8991.851855500001,8947.087402399999,8684.164469450001,61.624856695328866
20110127,20110127,13537581807,0.037277568229708145,9093.540039,9126.929688,9092.969727,9102.330078,3296800.0,9010.2958984,9004.5268555,8958.88642585,8697.638297566667,64.15270068971702
20110128,20110128,7498249884,0.03636979420126701,9122.160156,9154.929688,9095.709961,9145.349609,3372600.0,9048.489843599998,9021.8108398,8970.758398499998,8710.763297566667,66.34978904051417
20110208,20110208,814813279,0.035968997769538304,9220.69043,9220.69043,9085.410156,9111.459961,3854200.0,9081.223827999998,9040.4478515,8975.0664063,8721.798632850001,63.07032970121554
20110209,20110209,-8214174398,0.03517979620065955,9107.959961,9129.879883,8992.639648,9006.820313,3537600.0,9084.309961,9042.3298828,8975.547900450001,8731.402636766668,54.16772313998558
20110210,20110210,-20216433320,0.034163996565728896,8962.070313,8979.349609,8836.55957,8836.55957,3685600.0,9040.5039062,9017.3838867,8975.060400450002,8737.91813155,43.4265771976313
20110211,20110211,-27805965872,0.032114264718045835,8842.410156,8842.410156,8574.650391,8609.860352,4563000.0,8942.009961,8976.1529297,8961.392920000002,8740.571972700001,33.81250181030505
20110214,20110214,-12101766286,0.03324191500489067,8666.610352,8715.969727,8626.660156,8685.469727,3074000.0,8850.033984600002,8949.2619141,8956.530420000001,8744.713964900002,38.68788265399877
20110215,20110215,-5948319597,0.033069757482081706,8679.120117,8753.049805,8565.049805,8721.929688,3209400.0,8772.127930000002,8926.675879,8951.732910250003,8751.478629616668,40.94680456885667
20110216,20110216,-8961688424,0.03260971357887254,8740.320313,8767.089844,8702.80957,8712.959961,2959800.0,8713.355859600002,8898.832910300001,8940.812890700003,8759.350455783335,40.5509788986546
20110217,20110217,-9117659174,0.03320980078767346,8738.709961,8745.650391,8669.769531,8683.879883,3118400.0,8682.819922200002,8861.661914200002,8926.756884850003,8765.544954483335,39.22703244684364
20110218,20110218,13430703711,0.033362313054045835,8763.69043,8874.5,8763.69043,8843.839844,3326600.0,8729.615820600002,8835.812890800002,8920.169873150004,8775.349951233335,49.07602444071239
20110221,20110221,-1617588269,0.03297859410480752,8867.160156,8867.160156,8797.25,8839.219727,2736800.0,8760.365820600002,8805.199902600001,8913.505371200003,8784.61277676667,48.8298781198685
20110222,20110222,-20244533942,0.031081988418291816,8744.80957,8744.80957,8613.339844,8673.669922,3728400.0,8750.713867400002,8761.420898700002,8900.934375100001,8790.738606850002,40.911598921927016
20110223,20110223,-5084858540,0.029677493830803394,8604.320313,8673.200195,8521.25,8528.94043,3337800.0,8713.909961200003,8713.632910400001,8877.981396600002,8793.305778083335,35.49284931348948
20110224,20110224,-8737564100,0.030879320185142726,8561.160156,8633.240234,8541.639648,8541.639648,2738400.0,8685.461914200001,8684.140918200002,8850.762402450002,8796.855940833335,36.290225610666745
20110225,20110225,-2951566998,0.030484370552904563,8597.870117,8635.040039,8470.089844,8599.650391,3641600.0,8636.624023600001,8683.119922100002,8829.636425900002,8801.899283933335,39.94230536058599
20110301,20110301,2559593301,0.030673679339982357,8611.790039,8734.240234,8611.790039,8727.55957,2811800.0,8614.2919922,8687.328906400002,8818.295410250004,8808.192106200002,47.13775233869757
20110302,20110302,-12747194602,0.030569813953204617,8675.370117,8709.570313,8619.900391,8619.900391,2677400.0,8603.538086,8677.125976700001,8801.900927850003,8813.321272866668,42.52013643851736
20110303,20110303,5611507533,0.03146164362429959,8661.629883,8758.889648,8661.629883,8738.370117,3099000.0,8645.424023399999,8679.6669923,8789.249951300004,8819.507942783335,48.49883912243883
20110304,20110304,9445047023,0.03176739219772135,8815.519531,8829.230469,8771.889648,8784.400391,3112800.0,8693.976172,8689.719043100002,8775.690478650004,8826.37327481667,50.64680491858464
20110307,20110307,-2020595143,0.03182481063924132,8769.870117,8769.870117,8706.379883,8713.790039,2288200.0,8716.8041016,8676.7140626,8756.263476700004,8829.601269600003,47.38216882002265
20110308,20110308,991267715,0.03139298206823465,8692.099609,8768.30957,8692.099609,8747.75,2487400.0,8720.842187600001,8667.5670899,8736.383496250004,8832.300944083336,49.08212030030655
20110309,20110309,-364608218,0.03162035044924727,8810.349609,8824.410156,8730.740234,8750.019531,2811200.0,8746.8660156,8675.2020508,8718.311474750004,8834.401106833337,49.20023905812541
20110310,20110310,-6911368778,0.030720274541119853,8754.410156,8754.410156,8635.75,8642.900391,2763000.0,8727.7720704,8686.5980469,8700.115478650005,8833.412272200005,44.010767413509654
20110311,20110311,-14762409225,0.029491849384860203,8566.910156,8593.709961,8513.509766,8567.820313,2422200.0,8684.4560548,8689.216113400002,8686.678515800004,8831.13611661667,40.765219418842115
20110314,20110314,-5289717434,0.028385697751735915,8616.290039,8616.290039,8395.110352,8520.019531,3309000.0,8645.701953200001,8681.2530274,8682.186474750004,8828.073274816672,38.80325029137949
20110315,20110315,-16051522594,0.02587327917464207,8493.830078,8519.900391,8070.52002,8234.780273,4871800.0,8543.1080078,8631.9750977,8659.652002050007,8819.42228196667,29.636937239969185
20110316,20110316,1426397501,0.026413687343337527,8317.379883,8372.019531,8257.080078,8324.580078,3250800.0,8458.0201172,8602.4430664,8639.784521550006,8812.851448633337,34.854434365205286
20110317,20110317,-9679456516,0.025966626692235636,8190.5,8282.69043,8150.72998,8282.69043,3048000.0,8385.978125,8556.8750977,8618.271045000005,8805.286458400004,33.60271255093796
20110318,20110318,-8108741330,0.027130497297378656,8343.790039,8399.169922,8312.879883,8394.75,3085400.0,8351.3640624,8517.9100586,8603.814550850006,8799.525130266671,39.82815254767368
20110321,20110321,-2119502402,0.02725406766555065,8421.660156,8508.200195,8394.219727,8467.709961,2464000.0,8340.9021484,8493.3020508,8585.008056700006,8794.708463600004,43.53992616769807
20110322,20110322,-5796077759,0.027764849036988695,8523.269531,8552.820313,8508.040039,8508.040039,2781400.0,8395.5541016,8469.3310547,8568.449072300005,8790.139127666673,45.5397729999056
20110323,20110323,-1061718213,0.02765425110931226,8529.929688,8551.120117,8481.959961,8545.080078,2474600.0,8439.654101600001,8448.8371094,8562.019580100005,8785.592122450005,47.38312141576785
20110324,20110324,1138839010,0.02673569966945545,8589.709961,8603.429688,8550.599609,8576.400391,2431800.0,8498.3960938,8442.1871094,8564.392578150006,8782.386800183338,48.956410508243636
20110325,20110325,13000073781,0.02598719287206106,8645.370117,8658.049805,8587.839844,8610.389648,2449400.0,8541.5240234,8446.444042899999,8567.830078150006,8778.763460333339,50.67989624469181
20110328,20110328,1554434122,0.024289805074131608,8587.990234,8604.240234,8549.259766,8553.05957,1942800.0,8558.593945199998,8449.7480468,8565.500537100006,8773.63961593334,47.751187350308186
20110329,20110329,2821623416,0.022118524517816165,8538.44043,8596.570313,8522.570313,8596.570313,2214000.0,8576.3,8485.9270508,8558.951074250006,8768.60128586667,50.10771496862561
20110330,20110330,6279279118,0.0200759339335587,8605.830078,8671.589844,8605.830078,8646.30957,2544000.0,8596.5458984,8518.1,8560.271533200006,8765.021451883338,52.732227910592165
20110331,20110331,1530391469,0.017478085011035153,8683.69043,8685.44043,8608.049805,8683.299805,2411400.0,8617.9257812,8558.1609375,8557.518017600005,8761.537955800006,54.64309810572468
20110401,20110401,1080671395,0.017168326335194307,8697.839844,8705.129883,8654.400391,8705.129883,1912600.0,8636.873828200001,8589.1989258,8553.554492200004,8758.777457750006,55.7792720404716
20110406,20110406,24000544937,0.016490032708127177,8772.129883,8860.019531,8767.209961,8851.980469,2992600.0,8696.658008000002,8627.6259766,8560.464013700004,8758.537972083339,62.5714561643896
20110407,20110407,10698057934,0.015916709329704484,8884.839844,8901.719727,8828.919922,8901.719727,2638400.0,8757.687890800002,8666.993945400001,8568.162500050003,8758.434798266673,64.55718556236815
20110408,20110408,15783253945,0.015712138287310683,8904.44043,8929.05957,8862.490234,8894.540039,3122600.0,8807.333984600002,8701.9399415,8575.388525450002,8756.25546883334,64.02912268403192
20110411,20110411,2894142797,0.014559334451175505,8922.75,8922.75,8836.379883,8880.269531,2322000.0,8846.727929800001,8732.3268555,8587.256982450002,8754.30678718334,62.927332454634765
20110412,20110412,-6637727100,0.013838015717482067,8839.219727,8839.219727,8708.860352,8732.589844,2297200.0,8852.219922,8744.5468751,8595.495459000002,8752.411458416673,52.801443227811916
20110413,20110413,-1622215065,0.01355964619691387,8727.950195,8780.200195,8700.080078,8780.200195,2134800.0,8837.8638672,8767.2609376,8608.504492200003,8750.69462898334,55.298787720669054
20110414,20110414,-243164246,0.013641618347072419,8787.75,8835.389648,8772.299805,8802.730469,2277200.0,8818.0660156,8787.8769532,8636.902002000003,8751.028141350007,56.472504171391314
20110415,20110415,-5649481789,0.012345618188465737,8828.629883,8834.070313,8716.700195,8718.120117,2372400.0,8782.7820312,8795.058007900001,8656.579003950003,8749.36547858334,51.051337868899815
20110418,20110418,-4371251384,0.011183706557147385,8752.55957,8764.650391,8703.110352,8714.480469,2042400.0,8749.6242188,8798.176074300001,8678.168505900005,8745.750813866673,50.82531295582725
20110419,20110419,-13013076799,0.011115725109590805,8643.400391,8658.969727,8592.230469,8638.549805,2233000.0,8730.816211000001,8791.5180665,8690.358496150004,8740.30997728334,46.22710723368594
20110420,20110420,8751175732,0.011999612200354776,8704.480469,8813.280273,8698.969727,8813.280273,2643200.0,8737.4322266,8787.6480469,8707.637011750005,8737.604980533339,56.07523933775541
20110421,20110421,24088862205,0.01288803895988137,8893.070313,8992.080078,8892.05957,8957.650391,3689400.0,8768.416211,8793.2411133,8730.117529350005,8737.357324283339,62.230239282491496
20110422,20110422,9859535456,0.013670672201322656,8980.429688,8992.669922,8956.070313,8969.429688,2776600.0,8818.678125200002,8800.7300782,8751.335009850005,8738.096321683339,62.689622407610265
